source_model,target_model,pair_label,suite,n,baseline_asr_mean,candidate_asr_mean,asr_retention_mean,runtime_speedup_mean,estimator_speedup_mean,clean_drop_delta_mean,runtime_faster_significant,efficiency_win,study_id,source_profile,baseline_asr_std,candidate_asr_std,delta_asr_mean,delta_asr_std,delta_asr_ci_low,delta_asr_ci_high,asr_retention_std,baseline_duration_sec_mean,baseline_duration_sec_std,candidate_duration_sec_mean,candidate_duration_sec_std,runtime_speedup_std,baseline_estimator_time_mean,baseline_estimator_time_std,candidate_estimator_time_mean,candidate_estimator_time_std,estimator_speedup_std,baseline_clean_drop_mean,candidate_clean_drop_mean,baseline_lpips_mean,candidate_lpips_mean,baseline_ssim_mean,candidate_ssim_mean,runtime_delta_mean,runtime_t_stat,runtime_p_value,runtime_p_value_holm
densenet121,mobilenet_v2,DenseNet121->MobileNetV2,dynamic_uniform,3,0.2386363636363636,0.2159090909090909,0.9186602870813396,4.131100572899083,4.689798766760561,0.0,True,True,matrix_densenet121,densenet121_only,0.0196823955405554,0.0454545454545454,-0.0227272727272727,0.0632700495776138,-0.1798987889073364,0.1344442434527909,0.2686145879234974,313.3783597999912,26.33668184243241,76.12433546667064,3.1245096558009524,0.5278543992205552,3.135442520833952,0.2625912066851643,0.6709644364572241,0.0280560711189046,0.6016712360639177,0.0182291666666666,0.0182291666666666,0.0895002705510705,0.0900199996928374,0.8858598532776037,0.8858425877988338,237.25402433332056,13.95015130585523,0.0025496487573189,0.0086505279112372
densenet121,mobilenet_v2,DenseNet121->MobileNetV2,static_q70,3,0.2916666666666667,0.2727272727272727,0.9353846153846154,4.430214094387886,5.043804260019794,0.0,True,True,matrix_densenet121,densenet121_only,0.0065607985135184,0.0227272727272727,-0.0189393939393939,0.0236552954484787,-0.077702405445556,0.0398236175667681,0.0798222878219867,229.14652073334824,1.3623733952780168,51.72429116665929,0.1557944746033738,0.0364423136709277,2.294509579513639,0.0134854797489182,0.454915733679526,0.0007661519248308,0.0261394390171704,0.109375,0.109375,0.0894266349884371,0.0897095604644467,0.8855963399012884,0.8857695882519087,177.42222956668897,209.242569659399,1.1419708963889572e-05,0.000102777380675
densenet121,mobilenet_v2,DenseNet121->MobileNetV2,static_q80,3,0.1628787878787878,0.2045454545454545,1.2934173669467788,4.418920328632588,5.048354612708908,0.0,True,True,matrix_densenet121,densenet121_only,0.0285978577093589,0.0340909090909091,0.0416666666666666,0.0524863881081478,-0.0887167493863473,0.1720500827196807,0.3954623842736763,229.42826556668535,0.4742941085149047,51.92403880002288,0.6039427397728399,0.0502856596827965,2.298347882985682,0.0049520463750486,0.4553112611122035,0.0056901771896682,0.060123539244748,0.0,0.0,0.0893234953594704,0.0899790450930595,0.8855844053129355,0.8856692686676979,177.50422676666253,438.94865617411335,2.5950108364995056e-06,2.595010836499505e-05
densenet121,mobilenet_v2,DenseNet121->MobileNetV2,static_q90,3,0.1893939393939394,0.196969696969697,1.0381263616557732,4.511785692947805,5.140180897492951,0.0,True,True,matrix_densenet121,densenet121_only,0.0173582412687721,0.0236552954484787,0.0075757575757575,0.0065607985135184,-0.0087221694308691,0.0238736845823843,0.0330588037156721,232.46877320000203,3.753122075676176,51.52810076666841,0.2653442312243442,0.0934845950650149,2.327468865974677,0.0371455970612232,0.4528093486088538,0.0016916543910904,0.0905241119289794,0.0,0.0,0.0902679121742646,0.0910257259383797,0.8855749343832334,0.8855509273707867,180.9406724333336,78.77108350095,8.05622139718536e-05,0.0005639354978029
densenet121,resnet18,DenseNet121->ResNet18,dynamic_uniform,3,0.1715210355987055,0.174757281553398,1.0185185185185184,3.674776755189084,4.231193422189135,0.0,True,True,matrix_densenet121,densenet121_only,0.0244331211497435,0.0256869059326659,0.0032362459546925,0.0056053424193167,-0.010688196536406,0.0171606884457911,0.0320750149549792,233.75358533333443,0.5941436642296882,66.52105303335702,18.18709045173863,0.8862342241144926,2.312552282294241,0.0062776691753585,0.5733007135416605,0.1622718565272147,1.0512975274109868,0.0208333333333333,0.0208333333333333,0.0895002705510705,0.0900199996928374,0.8858598532776037,0.8858425877988338,167.2325322999774,16.38727226797423,0.0018515654428993,0.0086505279112372
densenet121,resnet18,DenseNet121->ResNet18,static_q70,3,0.174757281553398,0.1650485436893204,0.9470588235294116,2.8053492690909927,3.17371757000322,0.0,True,False,matrix_densenet121,densenet121_only,0.0168160272579502,0.0097087378640776,-0.0097087378640776,0.0097087378640776,-0.0338265797257313,0.014409103997576,0.0502588455606913,280.66355736668146,1.1507328310405078,102.47984536669294,19.94415230900978,0.5149881380318115,2.798025366319255,0.0118700661702179,0.9050957999984854,0.1839361814219959,0.6096243435246206,0.0390625,0.0390625,0.0894266349884371,0.0897095604644467,0.8855963399012884,0.8857695882519087,178.1837119999885,14.630890663609808,0.002319520443615,0.0086505279112372
densenet121,resnet18,DenseNet121->ResNet18,static_q80,3,0.174757281553398,0.145631067961165,0.8273225957049486,3.964563820672943,4.572585476633074,0.0,True,True,matrix_densenet121,densenet121_only,0.0256869059326659,0.0336320545159005,-0.029126213592233,0.0097087378640776,-0.0532440554538867,-0.0050083717305792,0.0711948338071611,232.3359040666643,0.5957705438041324,60.03368179998749,12.03496333090616,0.706938993721025,2.299816968748726,0.0067023758372721,0.5165709833337233,0.1092944991015941,0.8543742094065145,0.03125,0.03125,0.0893234953594704,0.0899790450930595,0.8855844053129355,0.8856692686676979,172.30222226667684,25.555316295703896,0.0007638557994736,0.0045831347968419
densenet121,resnet18,DenseNet121->ResNet18,static_q90,3,0.1974110032362459,0.1585760517799352,0.8066378066378066,4.384334850188881,5.069271132935675,0.0,True,True,matrix_densenet121,densenet121_only,0.0202103495093799,0.022421369677267,-0.0388349514563106,0.0256869059326659,-0.1026447631818293,0.024974860269208,0.1138440347983396,232.7260689000056,1.805494593115858,53.08181766668955,0.1879608844213693,0.0388077382320263,2.3028281934037094,0.017591958946449,0.4542725704856518,0.0009551241414679,0.0383659036158078,0.0,0.0,0.0902679121742646,0.0910257259383797,0.8855749343832334,0.8855509273707867,179.64425123331603,169.54615945086036,1.7392877162513372e-05,0.0001391430173001
densenet121,vgg16,DenseNet121->VGG16,dynamic_uniform,3,0.1428571428571428,0.1458333333333333,1.0238095238095235,2.912391771382943,3.858921934750255,0.0,True,False,matrix_densenet121,densenet121_only,0.0154647393532935,0.010309826235529,0.0029761904761904,0.0051549131177645,-0.0098293236004448,0.0157817045528257,0.0412393049421161,261.19202023333247,1.2615418784719996,92.33620276666868,18.192078540314856,0.6382532791564076,2.289454061458956,0.0130953000912078,0.620199961110403,0.148125584402479,1.0537877861670466,0.0182291666666666,0.0182291666666666,0.0895002705510705,0.0900199996928374,0.8858598532776037,0.8858425877988338,168.8558174666638,16.44339199223735,0.0018390181005199,0.0086505279112372
densenet121,vgg16,DenseNet121->VGG16,static_q70,3,0.1785714285714285,0.1517857142857142,0.8595643698618526,2.4118836226223213,3.0450417882495144,0.0,True,False,matrix_densenet121,densenet121_only,0.0236227795630766,0.032192422102357,-0.0267857142857142,0.0409158544192485,-0.128426331257056,0.0748549026856274,0.2167073476676734,261.1580809666775,0.45835440814068,108.2797612666812,0.1612516256731481,0.0034410983029458,2.291053984721253,0.0032952932539797,0.7523901555553797,0.0020175214604641,0.0043620417935187,0.015625,0.015625,0.0894266349884371,0.0897095604644467,0.8855963399012884,0.8857695882519087,152.8783196999963,698.1178545187738,1.025914521199913e-06,1.2310974254398956e-05
