study_id,source_profile,dataset,model_family,source_model,defense_profile,method,target_model,suite,asr_mean,asr_std,clean_accuracy_mean,clean_accuracy_std,jpeg_clean_accuracy_mean,jpeg_clean_accuracy_std,clean_drop_mean,clean_drop_std,lpips_mean,lpips_std,ssim_mean,ssim_std,linf_mean,linf_std,duration_sec_mean,duration_sec_std,mean_estimator_time_mean,mean_estimator_time_std,device,evidence_tier,evidence_status,timing_scope,run_directory,source_file,claim_scope,perturbation_budget,structure_variant,run_config,inclusion_policy
cpu_structure_full_vf,r18_only,pet37,cnn,resnet18,standard,baseline_strong,mobilenet_v2,dynamic_uniform,0.2926315789473684,0.0375126940656957,0.7421875,0.0,0.6875,0.0199180449749718,0.0546875,0.0199180449749718,,,0.8867352709174157,0.000173317576704,0.0313725769519805,0.0,55.94164748000912,0.3667586299236241,0.5258176954210891,0.0026581977547996,cpu,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_full_vf/runs,cpu_structure_full_vf/analysis/summary.csv,structure_ablation,8/255,full_vf,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_full_vf.yaml,included_in_cpu_structure_ablation_only
cpu_structure_full_vf,r18_only,pet37,cnn,resnet18,standard,baseline_strong,mobilenet_v2,static_q80,0.2652631578947368,0.0251312344975017,0.7421875,0.0,0.7109375,0.0,0.03125,0.0,,,0.8863739334046841,0.000349217176572,0.0313725769519805,0.0,55.23448812006973,0.4010000105018512,0.5206095062429086,0.0035876609499825,cpu,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_full_vf/runs,cpu_structure_full_vf/analysis/summary.csv,structure_ablation,8/255,full_vf,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_full_vf.yaml,included_in_cpu_structure_ablation_only
cpu_structure_full_vf,r18_only,pet37,cnn,resnet18,standard,vf_advjpeg,mobilenet_v2,dynamic_uniform,0.2421052631578947,0.0476599217796706,0.7421875,0.0,0.6875,0.0199180449749718,0.0546875,0.0199180449749718,,,0.8865098252892494,0.0001646102392384,0.0313725769519805,0.0,24.58674578000792,0.1675790243950611,0.1730993864679476,0.0008742902574811,cpu,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_full_vf/runs,cpu_structure_full_vf/analysis/summary.csv,structure_ablation,8/255,full_vf,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_full_vf.yaml,included_in_cpu_structure_ablation_only
cpu_structure_full_vf,r18_only,pet37,cnn,resnet18,standard,vf_advjpeg,mobilenet_v2,static_q80,0.2505263157894737,0.0240036931599818,0.7421875,0.0,0.7109375,0.0,0.03125,0.0,,,0.8864549681544304,0.0003199890563925,0.0313725769519805,0.0,24.48461159989238,0.1580923890981605,0.1724641362481634,0.0007862778823389,cpu,tier_a_cpu,supported,end_to_end_and_estimator,cpu_structure_full_vf/runs,cpu_structure_full_vf/analysis/summary.csv,structure_ablation,8/255,full_vf,configs/default.yaml;configs/ei_cpu_reconfirm.yaml;configs/cpu_structure_full_vf.yaml,included_in_cpu_structure_ablation_only
