axis,index,mean_response
frequency,1,0.6838985958444938
frequency,2,0.6849943246024909
frequency,3,0.6771414344446616
bucket,1,0.67653704422126
bucket,2,0.5894962073011698
bucket,3,0.6239525888815038
bucket,4,0.7546801847516377
bucket,5,0.6509562398266938
bucket,6,0.6945023206519065
bucket,7,0.606192749074079
bucket,8,0.6567825037911617
bucket,9,0.7321818816898293
bucket,10,0.6669622048974229
bucket,11,0.660965339396788
bucket,12,0.633798038832655
bucket,13,0.7078276347603719
bucket,14,0.6640503461809271
bucket,15,0.7001781108943282
bucket,16,0.7728830860370258
bucket,17,0.7130613759190154
bucket,18,0.6652448104773981
bucket,19,0.6690544160716866
bucket,20,0.7557731466217749
bucket,21,0.7703081913240498
quality,1,0.7446626341377681
quality,2,0.7165236620784728
quality,3,0.6987227120420211
quality,4,0.6922228930642932
quality,5,0.6931334198737631
quality,6,0.6874805109030535
quality,7,0.694981689502773
quality,8,0.7559116708062249
quality,9,0.7285697741689209
quality,10,0.7059102386844401
quality,11,0.690925887909286
quality,12,0.6788299125415591
quality,13,0.6874362880796686
quality,14,0.6736074619264336
quality,15,0.6749613656362825
quality,16,0.7311251037206548
quality,17,0.7083662094035167
quality,18,0.6968772543415036
quality,19,0.6881382660569209
quality,20,0.6840217445769544
quality,21,0.6733107944503354
quality,22,0.6672504497762362
quality,23,0.6650748081990419
quality,24,0.709858223810372
quality,25,0.6997599739606689
quality,26,0.693525804611729
quality,27,0.685385752118132
quality,28,0.6801679756646383
quality,29,0.6706669949813302
quality,30,0.6692393679873998
quality,31,0.6692405489605532
quality,32,0.6952471431599639
quality,33,0.68787624345924
quality,34,0.6863286005221572
quality,35,0.678517171778183
quality,36,0.6708599927358192
quality,37,0.6640340916964472
quality,38,0.6642961588962433
quality,39,0.6643393526851146
quality,40,0.6979777383734812
quality,41,0.6926123789494425
quality,42,0.680241584430283
quality,43,0.6742662346629522
quality,44,0.6706347820594313
quality,45,0.6643623295516152
quality,46,0.658611957660801
quality,47,0.6607468741579452
quality,48,0.6922882599301109
quality,49,0.6776860782078334
quality,50,0.6741562337986582
quality,51,0.674089945150418
quality,52,0.6669770497764801
quality,53,0.6630345117246444
quality,54,0.652464580431624
quality,55,0.6613174850090368
quality,56,0.7084448235027991
quality,57,0.6797911335358466
quality,58,0.6753029220305796
quality,59,0.6683918296062106
quality,60,0.6601573764685661
quality,61,0.6639122180387277
quality,62,0.6578901742591339
quality,63,0.6934186145833193
