path,method,target_model,suite,seed,duration_sec,device,study_id,source_profile,dataset,model_family,source_model,defense_profile,thread_env_CUDA_VISIBLE_DEVICES,thread_env_MKL_NUM_THREADS,thread_env_OMP_NUM_THREADS,adversarial_successes,asr,clean_accuracy,clean_drop,eligible_examples,examples,jpeg_clean_accuracy,linf,lpips,mean_estimator_time,ssim
reviewer_imagenet_1000_cpu/runs/baseline_strong/swin_t/static_q80/seed_45.json,baseline_strong,swin_t,static_q80,45,6408.203640300053,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,225,0.2819548872180451,0.798,0.071,798,1000,0.727,0.0313725769519805,,4.185229358733555,0.8461207852363587
reviewer_imagenet_1000_cpu/runs/baseline_strong/swin_t/static_q80/seed_46.json,baseline_strong,swin_t,static_q80,46,6390.048921700072,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,211,0.2644110275689223,0.798,0.071,798,1000,0.727,0.0313725769519805,,4.175013933533297,0.8462107691764832
reviewer_imagenet_1000_cpu/runs/baseline_strong/swin_v2_t/static_q80/seed_42.json,baseline_strong,swin_v2_t,static_q80,42,6399.308389299811,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,205,0.2588383838383838,0.792,0.069,792,1000,0.723,0.0313725769519805,,4.165077246133489,0.8462992649078369
reviewer_imagenet_1000_cpu/runs/baseline_strong/swin_v2_t/static_q80/seed_43.json,baseline_strong,swin_v2_t,static_q80,43,6404.92771969983,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,210,0.2651515151515151,0.792,0.069,792,1000,0.723,0.0313725769519805,,4.169117311533059,0.8461791338920593
reviewer_imagenet_1000_cpu/runs/baseline_strong/swin_v2_t/static_q80/seed_44.json,baseline_strong,swin_v2_t,static_q80,44,6418.072868000396,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,210,0.2651515151515151,0.792,0.069,792,1000,0.723,0.0313725769519805,,4.177266746400216,0.8462230896949768
reviewer_imagenet_1000_cpu/runs/baseline_strong/swin_v2_t/static_q80/seed_45.json,baseline_strong,swin_v2_t,static_q80,45,6431.107207400171,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,216,0.2727272727272727,0.792,0.069,792,1000,0.723,0.0313725769519805,,4.185229358733555,0.8461207852363587
reviewer_imagenet_1000_cpu/runs/baseline_strong/swin_v2_t/static_q80/seed_46.json,baseline_strong,swin_v2_t,static_q80,46,6414.273159599776,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,217,0.273989898989899,0.792,0.069,792,1000,0.723,0.0313725769519805,,4.175013933533297,0.8462107691764832
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_small_patch16_224.fb_in1k/static_q80/seed_42.json,vf_advjpeg,deit_small_patch16_224.fb_in1k,static_q80,42,2129.284588100156,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,260,0.3316326530612244,0.784,0.024,784,1000,0.76,0.0313725769519805,,1.3446125977335035,0.8467372035980225
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_small_patch16_224.fb_in1k/static_q80/seed_43.json,vf_advjpeg,deit_small_patch16_224.fb_in1k,static_q80,43,2125.523931500677,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,270,0.3443877551020408,0.784,0.024,784,1000,0.76,0.0313725769519805,,1.3420929105322954,0.8466706686019897
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_small_patch16_224.fb_in1k/static_q80/seed_44.json,vf_advjpeg,deit_small_patch16_224.fb_in1k,static_q80,44,2133.24760140077,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,271,0.3456632653061224,0.784,0.024,784,1000,0.76,0.0313725769519805,,1.3472818055343034,0.8466953363418579
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_small_patch16_224.fb_in1k/static_q80/seed_45.json,vf_advjpeg,deit_small_patch16_224.fb_in1k,static_q80,45,2133.485423599719,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,279,0.3558673469387755,0.784,0.024,784,1000,0.76,0.0313725769519805,,1.34748036540028,0.8466542000770569
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_small_patch16_224.fb_in1k/static_q80/seed_46.json,vf_advjpeg,deit_small_patch16_224.fb_in1k,static_q80,46,2126.2361530998605,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,262,0.3341836734693877,0.784,0.024,784,1000,0.76,0.0313725769519805,,1.3421667163328188,0.8466690130233765
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_tiny_patch16_224.fb_in1k/static_q80/seed_42.json,vf_advjpeg,deit_tiny_patch16_224.fb_in1k,static_q80,42,2090.117689599924,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,243,0.3476394849785407,0.699,0.0349999999999999,699,1000,0.664,0.0313725769519805,,1.3446125977335035,0.8467372035980225
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_tiny_patch16_224.fb_in1k/static_q80/seed_43.json,vf_advjpeg,deit_tiny_patch16_224.fb_in1k,static_q80,43,2086.3534213005914,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,242,0.34620886981402,0.699,0.0349999999999999,699,1000,0.664,0.0313725769519805,,1.3420929105322954,0.8466706686019897
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_tiny_patch16_224.fb_in1k/static_q80/seed_44.json,vf_advjpeg,deit_tiny_patch16_224.fb_in1k,static_q80,44,2094.1481319004088,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,240,0.3433476394849785,0.699,0.0349999999999999,699,1000,0.664,0.0313725769519805,,1.3472818055343034,0.8466953363418579
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_tiny_patch16_224.fb_in1k/static_q80/seed_45.json,vf_advjpeg,deit_tiny_patch16_224.fb_in1k,static_q80,45,2094.257180300541,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,250,0.3576537911301859,0.699,0.0349999999999999,699,1000,0.664,0.0313725769519805,,1.34748036540028,0.8466542000770569
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/deit_tiny_patch16_224.fb_in1k/static_q80/seed_46.json,vf_advjpeg,deit_tiny_patch16_224.fb_in1k,static_q80,46,2086.940410899755,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,234,0.334763948497854,0.699,0.0349999999999999,699,1000,0.664,0.0313725769519805,,1.3421667163328188,0.8466690130233765
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_t/static_q80/seed_42.json,vf_advjpeg,swin_t,static_q80,42,2184.101103099587,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,215,0.2694235588972431,0.798,0.071,798,1000,0.727,0.0313725769519805,,1.3446125977335035,0.8467372035980225
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_t/static_q80/seed_43.json,vf_advjpeg,swin_t,static_q80,43,2180.8652534005814,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,209,0.2619047619047619,0.798,0.071,798,1000,0.727,0.0313725769519805,,1.3420929105322954,0.8466706686019897
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_t/static_q80/seed_44.json,vf_advjpeg,swin_t,static_q80,44,2187.8342005006853,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,211,0.2644110275689223,0.798,0.071,798,1000,0.727,0.0313725769519805,,1.3472818055343034,0.8466953363418579
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_t/static_q80/seed_45.json,vf_advjpeg,swin_t,static_q80,45,2188.211441499996,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,209,0.2619047619047619,0.798,0.071,798,1000,0.727,0.0313725769519805,,1.34748036540028,0.8466542000770569
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_t/static_q80/seed_46.json,vf_advjpeg,swin_t,static_q80,46,2180.9586436998216,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,206,0.2581453634085213,0.798,0.071,798,1000,0.727,0.0313725769519805,,1.3421667163328188,0.8466690130233765
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_v2_t/static_q80/seed_42.json,vf_advjpeg,swin_v2_t,static_q80,42,2206.763410999556,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,202,0.255050505050505,0.792,0.069,792,1000,0.723,0.0313725769519805,,1.3446125977335035,0.8467372035980225
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_v2_t/static_q80/seed_43.json,vf_advjpeg,swin_v2_t,static_q80,43,2203.693684800819,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,203,0.2563131313131313,0.792,0.069,792,1000,0.723,0.0313725769519805,,1.3420929105322954,0.8466706686019897
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_v2_t/static_q80/seed_44.json,vf_advjpeg,swin_v2_t,static_q80,44,2210.9710406003287,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,198,0.25,0.792,0.069,792,1000,0.723,0.0313725769519805,,1.3472818055343034,0.8466953363418579
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_v2_t/static_q80/seed_45.json,vf_advjpeg,swin_v2_t,static_q80,45,2211.809935199737,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,203,0.2563131313131313,0.792,0.069,792,1000,0.723,0.0313725769519805,,1.34748036540028,0.8466542000770569
reviewer_imagenet_1000_cpu/runs/vf_advjpeg/swin_v2_t/static_q80/seed_46.json,vf_advjpeg,swin_v2_t,static_q80,46,2203.621227499621,cpu,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,,,,214,0.2702020202020202,0.792,0.069,792,1000,0.723,0.0313725769519805,,1.3421667163328188,0.8466690130233765
