study_id,source_profile,dataset,model_family,source_model,defense_profile,target_model,suite,paper_visible_retention_row,n,eligible_total,baseline_success_total,candidate_success_total,baseline_asr_mean,candidate_asr_mean,zero_baseline_seed_count,low_baseline_seed_count,baseline_seed_asr_values,per_seed_asr_retention_mean,aggregate_asr_retention,retention_metric_gap,baseline_viability_pass,baseline_viability_reason
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,deit_small_patch16_224.fb_in1k,static_q80,True,5,3920,1406,1342,0.3586734693877551,0.3423469387755101,0,0,0.353316326531;0.352040816327;0.350765306122;0.372448979592;0.364795918367,0.9547813884006476,0.9544807965860596,0.0003005918145879,True,pass
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,deit_tiny_patch16_224.fb_in1k,static_q80,True,5,3495,1251,1209,0.3579399141630901,0.3459227467811159,0,0,0.356223175966;0.361945636624;0.344778254649;0.384835479256;0.34191702432,0.9673447007285264,0.9664268585131895,0.0009178422153367,True,pass
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,swin_t,static_q80,True,5,3990,1083,1050,0.2714285714285714,0.2631578947368421,0,0,0.279448621554;0.265664160401;0.265664160401;0.281954887218;0.264411027569,0.9700899684868498,0.9695290858725762,0.0005608826142735,True,pass
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,swin_v2_t,static_q80,True,5,3960,1058,1020,0.2671717171717171,0.2575757575757576,0,0,0.258838383838;0.265151515152;0.265151515152;0.272727272727;0.27398989899,0.964175918640907,0.9640831758034027,9.274283750415611e-05,True,pass
