study_id,source_profile,dataset,model_family,source_model,defense_profile,method,target_model,suite,asr_mean,asr_std,clean_accuracy_mean,clean_accuracy_std,jpeg_clean_accuracy_mean,jpeg_clean_accuracy_std,clean_drop_mean,clean_drop_std,lpips_mean,lpips_std,ssim_mean,ssim_std,linf_mean,linf_std,duration_sec_mean,duration_sec_std,mean_estimator_time_mean,mean_estimator_time_std
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,baseline_strong,deit_small_patch16_224.fb_in1k,static_q80,0.3586734693877551,0.009519442937268,0.784,0.0,0.76,0.0,0.024,0.0,,,0.846206608581543,6.51817412957594e-05,0.0313725769519805,0.0,6334.847426500101,11.902974896146976,4.174340919266723,0.0077568235173229
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,baseline_strong,deit_tiny_patch16_224.fb_in1k,static_q80,0.3579399141630901,0.0171196283852951,0.699,0.0,0.664,0.0,0.0349999999999999,0.0,,,0.846206608581543,6.51817412957594e-05,0.0313725769519805,0.0,6295.5042953200345,11.73484377618444,4.174340919266723,0.0077568235173229
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,baseline_strong,swin_t,static_q80,0.2714285714285714,0.0085268299930847,0.798,0.0,0.727,0.0,0.071,0.0,,,0.846206608581543,6.51817412957594e-05,0.0313725769519805,0.0,6390.245853860007,12.139222057228244,4.174340919266723,0.0077568235173229
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,baseline_strong,swin_v2_t,static_q80,0.2671717171717171,0.0062241199716496,0.792,0.0,0.723,0.0,0.069,0.0,,,0.846206608581543,6.51817412957594e-05,0.0313725769519805,0.0,6413.537868799996,12.312608207938109,4.174340919266723,0.0077568235173229
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,vf_advjpeg,deit_small_patch16_224.fb_in1k,static_q80,0.3423469387755102,0.009739086310623,0.784,0.0,0.76,0.0,0.024,0.0,,,0.8466852843284608,3.256247472142263e-05,0.0313725769519805,0.0,2129.555539540236,3.755692809291503,1.3447268791066402,0.0026274807293002
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,vf_advjpeg,deit_tiny_patch16_224.fb_in1k,static_q80,0.3459227467811159,0.0082431246299787,0.699,0.0,0.664,0.0,0.0349999999999999,0.0,,,0.8466852843284608,3.256247472142263e-05,0.0313725769519805,0.0,2090.363366800244,3.7862540106335305,1.3447268791066402,0.0026274807293002
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,vf_advjpeg,swin_t,static_q80,0.2631578947368421,0.0041561714164854,0.798,0.0,0.727,0.0,0.071,0.0,,,0.8466852843284608,3.256247472142263e-05,0.0313725769519805,0.0,2184.3941284401344,3.561858822113769,1.3447268791066402,0.0026274807293002
reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,vf_advjpeg,swin_v2_t,static_q80,0.2575757575757575,0.0075229641968516,0.792,0.0,0.723,0.0,0.069,0.0,,,0.8466852843284608,3.256247472142263e-05,0.0313725769519805,0.0,2207.371859820013,3.892847274399952,1.3447268791066402,0.0026274807293002
