study_id,source_profile,dataset,model_family,source_model,defense_profile,target_model,suite,paper_visible_retention_row,n,eligible_total,baseline_success_total,candidate_success_total,baseline_asr_mean,candidate_asr_mean,zero_baseline_seed_count,low_baseline_seed_count,baseline_seed_asr_values,per_seed_asr_retention_mean,aggregate_asr_retention,retention_metric_gap,baseline_viability_pass,baseline_viability_reason
reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,dynamic_uniform,True,5,125,19,17,0.152,0.136,0,0,0.16;0.12;0.16;0.16;0.16,0.8833333333333334,0.894736842105263,0.0114035087719296,True,pass
reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,static_q70,True,5,125,21,20,0.168,0.16,0,0,0.2;0.16;0.16;0.16;0.16,0.96,0.9523809523809524,0.0076190476190476,True,pass
reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,static_q80,True,5,125,20,20,0.16,0.16,0,0,0.16;0.16;0.16;0.16;0.16,1.0,1.0,0.0,True,pass
reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,static_q90,True,5,125,16,15,0.128,0.12,0,0,0.12;0.12;0.12;0.16;0.12,0.95,0.9375,0.0124999999999999,True,pass
