study_id,source_profile,dataset,model_family,source_model,defense_profile,target_model,suite,n,baseline_asr_mean,baseline_asr_std,candidate_asr_mean,candidate_asr_std,delta_asr_mean,delta_asr_std,delta_asr_ci_low,delta_asr_ci_high,asr_retention_mean,asr_retention_std,baseline_duration_sec_mean,baseline_duration_sec_std,candidate_duration_sec_mean,candidate_duration_sec_std,runtime_speedup_mean,runtime_speedup_std,baseline_estimator_time_mean,baseline_estimator_time_std,candidate_estimator_time_mean,candidate_estimator_time_std,estimator_speedup_mean,estimator_speedup_std,baseline_clean_drop_mean,candidate_clean_drop_mean,clean_drop_delta_mean,baseline_lpips_mean,candidate_lpips_mean,baseline_ssim_mean,candidate_ssim_mean,runtime_delta_mean,runtime_t_stat,runtime_p_value,efficiency_win,runtime_p_value_holm,runtime_faster_significant
reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,dynamic_uniform,5,0.152,0.0178885438199983,0.136,0.0357770876399966,-0.016,0.0219089023002066,-0.0432034952263302,0.0112034952263302,0.8833333333333334,0.1624465724134827,55.68672609999776,0.0944938258912304,22.26239548000158,0.0949068829340077,2.5014208156128164,0.012461826788232,0.2745499753125841,0.0004481379081891,0.0889399843746711,0.0002468820459153,3.0869327849186834,0.0103087335287231,0.00078125,0.00078125,0.0,,,0.9438469164073467,0.944576183706522,33.424330619996184,497.03838055639073,4.9152977720708864e-11,False,1.9661191088283543e-10,True
reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,static_q70,5,0.168,0.0178885438199983,0.16,0.0,-0.008,0.0178885438199983,-0.0302115608415824,0.0142115608415823,0.96,0.0894427190999916,54.568008860002735,2.566642153022205,22.22203831999796,0.1354984849925939,2.4559024920800043,0.1224471273981476,0.2689963387503667,0.0125562206616845,0.0886978468756145,0.0003256876978321,3.032952311985519,0.1467479238474597,0.0,0.0,0.0,,,0.9437187261879444,0.9444739781320096,32.345970540004785,27.50923136123795,5.192675285177511e-06,False,5.192675285177511e-06,True
reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,static_q80,5,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.733778160001386,0.1186523647491051,22.20221550000715,0.059009673975115,2.510299055179223,0.0101715220403449,0.2749717499996828,0.0005193247976692,0.0887509183340929,0.0001605401929458,3.098246199778833,0.006457791204528,0.00390625,0.00390625,0.0,,,0.9438351720571518,0.9446011997759344,33.53156265999424,489.1696952222638,5.2392724024513454e-11,False,1.9661191088283543e-10,True
reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,static_q90,5,0.128,0.0178885438199983,0.12,0.0,-0.008,0.0178885438199983,-0.0302115608415824,0.0142115608415823,0.95,0.1118033988749894,56.0594093199994,0.5488246367223764,22.14022714000312,0.1135710317241458,2.5320727328898,0.0283181160579898,0.2763984929168145,0.0027165787674589,0.0887127842707438,0.0003229919173445,3.115708999639898,0.0349552159674579,0.0,0.0,0.0,,,0.9439410589635372,0.9447258599102496,33.91918217999628,134.41237240440503,9.18764126063289e-09,False,1.837528252126578e-08,True
