study_id,source_profile,dataset,model_family,source_model,defense_profile,target_model,suite,paper_visible_retention_row,n,eligible_total,baseline_success_total,candidate_success_total,baseline_asr_mean,candidate_asr_mean,zero_baseline_seed_count,low_baseline_seed_count,baseline_seed_asr_values,per_seed_asr_retention_mean,aggregate_asr_retention,retention_metric_gap,baseline_viability_pass,baseline_viability_reason
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Engstrom2019Robustness,dynamic_uniform,True,5,580,50,46,0.0862068965517241,0.0793103448275862,0,0,0.0948275862069;0.0862068965517;0.0948275862069;0.0862068965517;0.0689655172414,0.9322727272727274,0.9200000000000002,0.0122727272727272,True,pass
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Engstrom2019Robustness,static_q70,True,5,580,50,50,0.0862068965517241,0.0862068965517241,0,0,0.0862068965517;0.0862068965517;0.0775862068966;0.0948275862069;0.0862068965517,1.004040404040404,1.0,0.004040404040404,True,pass
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Engstrom2019Robustness,static_q80,True,5,580,47,50,0.0810344827586206,0.0862068965517241,0,0,0.0775862068966;0.0862068965517;0.0775862068966;0.0862068965517;0.0775862068966,1.0666666666666669,1.0638297872340423,0.0028368794326241,True,pass
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Engstrom2019Robustness,static_q90,True,5,580,45,47,0.0775862068965517,0.0810344827586206,0,0,0.0775862068966;0.0689655172414;0.0775862068966;0.0862068965517;0.0775862068966,1.047222222222222,1.0444444444444445,0.0027777777777777,True,pass
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Rice2020Overfitting,dynamic_uniform,True,5,555,53,48,0.0954954954954954,0.0864864864864864,0,0,0.0810810810811;0.0990990990991;0.0990990990991;0.108108108108;0.0900900900901,0.9047474747474747,0.9056603773584904,0.0009129026110156,True,pass
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Rice2020Overfitting,static_q70,True,5,555,65,61,0.1171171171171171,0.1099099099099099,0,0,0.117117117117;0.126126126126;0.108108108108;0.108108108108;0.126126126126,0.944139194139194,0.9384615384615383,0.0056776556776557,True,pass
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Rice2020Overfitting,static_q80,True,5,555,54,52,0.0972972972972972,0.0936936936936936,0,0,0.117117117117;0.0900900900901;0.0990990990991;0.0900900900901;0.0900900900901,0.9674125874125874,0.962962962962963,0.0044496244496243,True,pass
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Rice2020Overfitting,static_q90,True,5,555,38,38,0.0684684684684684,0.0684684684684684,0,0,0.0720720720721;0.0720720720721;0.0720720720721;0.0630630630631;0.0630630630631,1.0035714285714286,0.9999999999999998,0.0035714285714287,True,pass
