study_id,source_profile,dataset,model_family,source_model,defense_profile,method,target_model,suite,asr_mean,asr_std,clean_accuracy_mean,clean_accuracy_std,jpeg_clean_accuracy_mean,jpeg_clean_accuracy_std,clean_drop_mean,clean_drop_std,lpips_mean,lpips_std,ssim_mean,ssim_std,linf_mean,linf_std,duration_sec_mean,duration_sec_std,mean_estimator_time_mean,mean_estimator_time_std
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,baseline_strong,robustbench:cifar10:Linf:Rice2020Overfitting,dynamic_uniform,0.0954954954954954,0.0102718506765688,0.8671875,0.0,0.853125,0.0065364064572974,0.0140625,0.0065364064572974,,,0.9486059114336968,0.0003246237770849,0.0313725769519805,0.0,60.38513182000024,0.194716490703009,0.2692415647921128,0.0017208810402972
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,baseline_strong,robustbench:cifar10:Linf:Rice2020Overfitting,static_q70,0.1171171171171171,0.009009009009009,0.8671875,0.0,0.84375,0.0,0.0234375,0.0,,,0.94838228225708,0.0003453595587324,0.0313725769519805,0.0,59.61085024000495,1.8733322520644176,0.2658572591675087,0.0080347227438536
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,baseline_strong,robustbench:cifar10:Linf:Rice2020Overfitting,static_q80,0.0972972972972972,0.0117463106400047,0.8671875,0.0,0.8515625,0.0,0.015625,0.0,,,0.948487676680088,0.0004713149356223,0.0313725769519805,0.0,60.34181193999248,0.2098296630950516,0.2687951875003515,0.000735917135154
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,baseline_strong,robustbench:cifar10:Linf:Rice2020Overfitting,static_q90,0.0684684684684684,0.0049344374550014,0.8671875,0.0,0.875,0.0,-0.0078125,0.0,,,0.9484753847122191,0.0003549644512668,0.0313725769519805,0.0,60.26091961999773,0.1563883361108846,0.2689003795832832,0.0009372443404717
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,vf_advjpeg,robustbench:cifar10:Linf:Engstrom2019Robustness,dynamic_uniform,0.0793103448275862,0.0038552896163789,0.90625,0.0,0.890625,0.0123526471100327,0.015625,0.0123526471100327,,,0.9478596061468124,0.0003353868632513,0.0313725769519805,0.0,12.448785740003222,0.0929451430630084,0.086211017082193,0.0006695597062394
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,vf_advjpeg,robustbench:cifar10:Linf:Engstrom2019Robustness,static_q70,0.0862068965517241,0.0,0.90625,0.0,0.8984375,0.0,0.0078125,0.0,,,0.9475997447967528,0.0004339353468239,0.0313725769519805,0.0,12.416579840000486,0.1187778011947043,0.086321000833171,0.0008651612708763
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,vf_advjpeg,robustbench:cifar10:Linf:Engstrom2019Robustness,static_q80,0.0862068965517241,0.0105581454430309,0.90625,0.0,0.8828125,0.0,0.0234375,0.0,,,0.9475817978382112,0.0004455609665869,0.0313725769519805,0.0,12.505693180003435,0.0385795865956875,0.086785215625423,0.0006592452698981
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,vf_advjpeg,robustbench:cifar10:Linf:Engstrom2019Robustness,static_q90,0.0810344827586207,0.0047217461853893,0.90625,0.0,0.90625,0.0,0.0,0.0,,,0.9477133944630622,0.0005033859208811,0.0313725769519805,0.0,12.49684971999377,0.1175077492833176,0.0868669347919421,0.000736840126276
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,vf_advjpeg,robustbench:cifar10:Linf:Rice2020Overfitting,dynamic_uniform,0.0864864864864864,0.0102718506765688,0.8671875,0.0,0.853125,0.0065364064572974,0.0140625,0.0065364064572974,,,0.9478596061468124,0.0003353868632513,0.0313725769519805,0.0,43.97936670000199,0.4963221934950511,0.0884564358338442,0.0020933733565232
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,vf_advjpeg,robustbench:cifar10:Linf:Rice2020Overfitting,static_q70,0.1099099099099099,0.0133625197965687,0.8671875,0.0,0.84375,0.0,0.0234375,0.0,,,0.9475997447967528,0.0004339353468239,0.0313725769519805,0.0,44.08637904000352,0.1335797229092288,0.088323833959051,0.000592913439341
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,vf_advjpeg,robustbench:cifar10:Linf:Rice2020Overfitting,static_q80,0.0936936936936937,0.0136628386379307,0.8671875,0.0,0.8515625,0.0,0.015625,0.0,,,0.9475817978382112,0.0004455609665869,0.0313725769519805,0.0,44.00491022000206,0.1167424538833841,0.0882864827080387,0.0004066663901925
reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,vf_advjpeg,robustbench:cifar10:Linf:Rice2020Overfitting,static_q90,0.0684684684684684,0.0049344374550014,0.8671875,0.0,0.875,0.0,-0.0078125,0.0,,,0.9477133944630622,0.0005033859208811,0.0313725769519805,0.0,44.35472504000063,0.5347455575611378,0.0893593845818638,0.0017361864660274
